41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Day3ListsAndLoops.executeLoops();
Execute Anonymous: 
Execute Anonymous: 
15:51:42.1 (1006735)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
15:51:42.1 (1026474)|EXECUTION_STARTED
15:51:42.1 (1030248)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:51:42.1 (1221428)|HEAP_ALLOCATE|[72]|Bytes:3
15:51:42.1 (1262135)|HEAP_ALLOCATE|[77]|Bytes:152
15:51:42.1 (1279187)|HEAP_ALLOCATE|[342]|Bytes:408
15:51:42.1 (1293531)|HEAP_ALLOCATE|[355]|Bytes:408
15:51:42.1 (1305955)|HEAP_ALLOCATE|[467]|Bytes:48
15:51:42.1 (1331492)|HEAP_ALLOCATE|[139]|Bytes:6
15:51:42.1 (1346386)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:51:42.1 (1420824)|STATEMENT_EXECUTE|[1]
15:51:42.1 (1424203)|STATEMENT_EXECUTE|[1]
15:51:42.1 (1474562)|HEAP_ALLOCATE|[50]|Bytes:5
15:51:42.1 (1497247)|HEAP_ALLOCATE|[56]|Bytes:5
15:51:42.1 (1504409)|HEAP_ALLOCATE|[64]|Bytes:7
15:51:42.1 (1532410)|SYSTEM_MODE_ENTER|false
15:51:42.1 (1550277)|HEAP_ALLOCATE|[1]|Bytes:5
15:51:42.1 (7587985)|HEAP_ALLOCATE|[1]|Bytes:4
15:51:42.1 (7597270)|HEAP_ALLOCATE|[1]|Bytes:26
15:51:42.1 (7612530)|METHOD_ENTRY|[2]|01p1I000008LWEw|Day3ListsAndLoops.Day3ListsAndLoops()
15:51:42.1 (7618998)|STATEMENT_EXECUTE|[2]
15:51:42.1 (7623263)|STATEMENT_EXECUTE|[2]
15:51:42.1 (7632768)|HEAP_ALLOCATE|[1]|Bytes:5
15:51:42.1 (7642616)|METHOD_EXIT|[2]|Day3ListsAndLoops
15:51:42.1 (7660668)|METHOD_ENTRY|[1]|01p1I000008LWEw|Day3ListsAndLoops.executeLoops()
15:51:42.1 (7696485)|HEAP_ALLOCATE|[66]|Bytes:5
15:51:42.1 (7701864)|STATEMENT_EXECUTE|[58]
15:51:42.1 (7704048)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7709993)|VARIABLE_SCOPE_BEGIN|[66]|i|Integer|false|false
15:51:42.1 (7717218)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7733767)|VARIABLE_ASSIGNMENT|[66]|i|0
15:51:42.1 (7741653)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7742621)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7744625)|HEAP_ALLOCATE|[67]|Bytes:3
15:51:42.1 (7810133)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (7828356)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (7852287)|USER_DEBUG|[67]|DEBUG|i: 0
15:51:42.1 (7860036)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7866387)|VARIABLE_ASSIGNMENT|[66]|i|1
15:51:42.1 (7872335)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7873356)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7880912)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (7888192)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (7893129)|USER_DEBUG|[67]|DEBUG|i: 1
15:51:42.1 (7897913)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7901626)|VARIABLE_ASSIGNMENT|[66]|i|2
15:51:42.1 (7905312)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7906526)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7912268)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (7918946)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (7923524)|USER_DEBUG|[67]|DEBUG|i: 2
15:51:42.1 (7928217)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7931503)|VARIABLE_ASSIGNMENT|[66]|i|3
15:51:42.1 (7935350)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7936267)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7941660)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (7947843)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (7951786)|USER_DEBUG|[67]|DEBUG|i: 3
15:51:42.1 (7955946)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7959823)|VARIABLE_ASSIGNMENT|[66]|i|4
15:51:42.1 (7963679)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7964537)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7970026)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (7976183)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (7980457)|USER_DEBUG|[67]|DEBUG|i: 4
15:51:42.1 (7985144)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (7988407)|VARIABLE_ASSIGNMENT|[66]|i|5
15:51:42.1 (7991442)|STATEMENT_EXECUTE|[66]
15:51:42.1 (7992319)|STATEMENT_EXECUTE|[67]
15:51:42.1 (7997832)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (8003965)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (8008981)|USER_DEBUG|[67]|DEBUG|i: 5
15:51:42.1 (8013848)|HEAP_ALLOCATE|[66]|Bytes:4
15:51:42.1 (8017234)|VARIABLE_ASSIGNMENT|[66]|i|6
15:51:42.1 (8021102)|STATEMENT_EXECUTE|[66]
15:51:42.1 (8021972)|STATEMENT_EXECUTE|[67]
15:51:42.1 (8027213)|HEAP_ALLOCATE|[67]|Bytes:1
15:51:42.1 (8034021)|HEAP_ALLOCATE|[67]|Bytes:4
15:51:42.1 (8037684)|USER_DEBUG|[67]|DEBUG|i: 6
15:51:42.1 (8041506)|HEAP_ALLOCATE|[66]|Bytes:4
