41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Day3ListsAndLoops.executeLoops();
Execute Anonymous: 
Execute Anonymous: 
15:47:22.1 (1001036)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
15:47:22.1 (1020069)|EXECUTION_STARTED
15:47:22.1 (1023712)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:47:22.1 (1210934)|HEAP_ALLOCATE|[72]|Bytes:3
15:47:22.1 (1249895)|HEAP_ALLOCATE|[77]|Bytes:152
15:47:22.1 (1270749)|HEAP_ALLOCATE|[342]|Bytes:408
15:47:22.1 (1286068)|HEAP_ALLOCATE|[355]|Bytes:408
15:47:22.1 (1298995)|HEAP_ALLOCATE|[467]|Bytes:48
15:47:22.1 (1326950)|HEAP_ALLOCATE|[139]|Bytes:6
15:47:22.1 (1341986)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:47:22.1 (1417715)|STATEMENT_EXECUTE|[1]
15:47:22.1 (1419960)|STATEMENT_EXECUTE|[1]
15:47:22.1 (1467581)|HEAP_ALLOCATE|[50]|Bytes:5
15:47:22.1 (1489090)|HEAP_ALLOCATE|[56]|Bytes:5
15:47:22.1 (1496307)|HEAP_ALLOCATE|[64]|Bytes:7
15:47:22.1 (1518520)|SYSTEM_MODE_ENTER|false
15:47:22.1 (1538876)|HEAP_ALLOCATE|[1]|Bytes:5
15:47:22.1 (6842670)|HEAP_ALLOCATE|[1]|Bytes:4
15:47:22.1 (6852659)|HEAP_ALLOCATE|[1]|Bytes:23
15:47:22.1 (6866959)|METHOD_ENTRY|[2]|01p1I000008LWEw|Day3ListsAndLoops.Day3ListsAndLoops()
15:47:22.1 (6873086)|STATEMENT_EXECUTE|[2]
15:47:22.1 (6877116)|STATEMENT_EXECUTE|[2]
15:47:22.1 (6887227)|HEAP_ALLOCATE|[1]|Bytes:5
15:47:22.1 (6898657)|METHOD_EXIT|[2]|Day3ListsAndLoops
15:47:22.1 (6917781)|METHOD_ENTRY|[1]|01p1I000008LWEw|Day3ListsAndLoops.executeLoops()
15:47:22.1 (6953527)|HEAP_ALLOCATE|[66]|Bytes:5
15:47:22.1 (6958907)|STATEMENT_EXECUTE|[58]
15:47:22.1 (6961217)|STATEMENT_EXECUTE|[66]
15:47:22.1 (6967911)|VARIABLE_SCOPE_BEGIN|[66]|i|Integer|false|false
15:47:22.1 (6976808)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (6996465)|VARIABLE_ASSIGNMENT|[66]|i|0
15:47:22.1 (7003828)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7005341)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7007628)|HEAP_ALLOCATE|[67]|Bytes:3
15:47:22.1 (7075917)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7096092)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7120167)|USER_DEBUG|[67]|DEBUG|i: 0
15:47:22.1 (7129046)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7135340)|VARIABLE_ASSIGNMENT|[66]|i|1
15:47:22.1 (7140279)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7141293)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7149400)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7157231)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7162539)|USER_DEBUG|[67]|DEBUG|i: 1
15:47:22.1 (7167109)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7171017)|VARIABLE_ASSIGNMENT|[66]|i|2
15:47:22.1 (7174975)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7176189)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7181870)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7188554)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7193263)|USER_DEBUG|[67]|DEBUG|i: 2
15:47:22.1 (7197864)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7201549)|VARIABLE_ASSIGNMENT|[66]|i|3
15:47:22.1 (7205333)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7206223)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7211549)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7217958)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7222040)|USER_DEBUG|[67]|DEBUG|i: 3
15:47:22.1 (7226275)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7229622)|VARIABLE_ASSIGNMENT|[66]|i|4
15:47:22.1 (7232924)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7233812)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7239058)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7245779)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7249782)|USER_DEBUG|[67]|DEBUG|i: 4
15:47:22.1 (7253471)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7261619)|VARIABLE_ASSIGNMENT|[66]|i|5
15:47:22.1 (7268895)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7269833)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7276801)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7283985)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7288359)|USER_DEBUG|[67]|DEBUG|i: 5
15:47:22.1 (7292513)|HEAP_ALLOCATE|[66]|Bytes:4
15:47:22.1 (7295905)|VARIABLE_ASSIGNMENT|[66]|i|6
15:47:22.1 (7299646)|STATEMENT_EXECUTE|[66]
15:47:22.1 (7300643)|STATEMENT_EXECUTE|[67]
15:47:22.1 (7305899)|HEAP_ALLOCATE|[67]|Bytes:1
15:47:22.1 (7312620)|HEAP_ALLOCATE|[67]|Bytes:4
15:47:22.1 (7316523)|USER_DEBUG|[67]|DEBUG|i: 6
15:47:22.1 (7320750)|HEAP_ALLOCATE|[66]|Bytes:4
