41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Day3ListsAndLoops.executeLoops();
Execute Anonymous: 
Execute Anonymous: 
15:44:22.1 (1004638)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
15:44:22.1 (1036459)|EXECUTION_STARTED
15:44:22.1 (1043661)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:44:22.1 (1263838)|HEAP_ALLOCATE|[72]|Bytes:3
15:44:22.1 (1310795)|HEAP_ALLOCATE|[77]|Bytes:152
15:44:22.1 (1329990)|HEAP_ALLOCATE|[342]|Bytes:408
15:44:22.1 (1346409)|HEAP_ALLOCATE|[355]|Bytes:408
15:44:22.1 (1360276)|HEAP_ALLOCATE|[467]|Bytes:48
15:44:22.1 (1387658)|HEAP_ALLOCATE|[139]|Bytes:6
15:44:22.1 (1403324)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:44:22.1 (1489176)|STATEMENT_EXECUTE|[1]
15:44:22.1 (1491695)|STATEMENT_EXECUTE|[1]
15:44:22.1 (1544852)|HEAP_ALLOCATE|[50]|Bytes:5
15:44:22.1 (1567621)|HEAP_ALLOCATE|[56]|Bytes:5
15:44:22.1 (1574622)|HEAP_ALLOCATE|[64]|Bytes:7
15:44:22.1 (1598634)|SYSTEM_MODE_ENTER|false
15:44:22.1 (1616709)|HEAP_ALLOCATE|[1]|Bytes:5
15:44:22.1 (2677576)|HEAP_ALLOCATE|[1]|Bytes:4
15:44:22.1 (2686270)|HEAP_ALLOCATE|[1]|Bytes:20
15:44:22.1 (2700795)|METHOD_ENTRY|[2]|01p1I000008LWEw|Day3ListsAndLoops.Day3ListsAndLoops()
15:44:22.1 (2706433)|STATEMENT_EXECUTE|[2]
15:44:22.1 (2710248)|STATEMENT_EXECUTE|[2]
15:44:22.1 (2720732)|HEAP_ALLOCATE|[1]|Bytes:5
15:44:22.1 (2732455)|METHOD_EXIT|[2]|Day3ListsAndLoops
15:44:22.1 (2753432)|METHOD_ENTRY|[1]|01p1I000008LWEw|Day3ListsAndLoops.executeLoops()
15:44:22.1 (2791129)|HEAP_ALLOCATE|[66]|Bytes:5
15:44:22.1 (2796534)|STATEMENT_EXECUTE|[58]
15:44:22.1 (2798717)|STATEMENT_EXECUTE|[66]
15:44:22.1 (2805552)|VARIABLE_SCOPE_BEGIN|[66]|i|Integer|false|false
15:44:22.1 (2813180)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (2830531)|VARIABLE_ASSIGNMENT|[66]|i|0
15:44:22.1 (2838336)|STATEMENT_EXECUTE|[66]
15:44:22.1 (2839296)|STATEMENT_EXECUTE|[67]
15:44:22.1 (2841650)|HEAP_ALLOCATE|[67]|Bytes:3
15:44:22.1 (2910706)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (2931861)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (2958249)|USER_DEBUG|[67]|DEBUG|i: 0
15:44:22.1 (2967593)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (2974294)|VARIABLE_ASSIGNMENT|[66]|i|1
15:44:22.1 (2979870)|STATEMENT_EXECUTE|[66]
15:44:22.1 (2980877)|STATEMENT_EXECUTE|[67]
15:44:22.1 (2989621)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (2997457)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3002669)|USER_DEBUG|[67]|DEBUG|i: 1
15:44:22.1 (3008971)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (3013753)|VARIABLE_ASSIGNMENT|[66]|i|2
15:44:22.1 (3018509)|STATEMENT_EXECUTE|[66]
15:44:22.1 (3019658)|STATEMENT_EXECUTE|[67]
15:44:22.1 (3026386)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (3034040)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3038748)|USER_DEBUG|[67]|DEBUG|i: 2
15:44:22.1 (3043785)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (3047931)|VARIABLE_ASSIGNMENT|[66]|i|3
15:44:22.1 (3051673)|STATEMENT_EXECUTE|[66]
15:44:22.1 (3052575)|STATEMENT_EXECUTE|[67]
15:44:22.1 (3058301)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (3065406)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3069837)|USER_DEBUG|[67]|DEBUG|i: 3
15:44:22.1 (3074646)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (3078258)|VARIABLE_ASSIGNMENT|[66]|i|4
15:44:22.1 (3081913)|STATEMENT_EXECUTE|[66]
15:44:22.1 (3082827)|STATEMENT_EXECUTE|[67]
15:44:22.1 (3088980)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (3095847)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3100691)|USER_DEBUG|[67]|DEBUG|i: 4
15:44:22.1 (3105528)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (3109483)|VARIABLE_ASSIGNMENT|[66]|i|5
15:44:22.1 (3113734)|STATEMENT_EXECUTE|[66]
15:44:22.1 (3114626)|STATEMENT_EXECUTE|[67]
15:44:22.1 (3121022)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (3128036)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3132369)|USER_DEBUG|[67]|DEBUG|i: 5
15:44:22.1 (3137412)|HEAP_ALLOCATE|[66]|Bytes:4
15:44:22.1 (3141568)|VARIABLE_ASSIGNMENT|[66]|i|6
15:44:22.1 (3146099)|STATEMENT_EXECUTE|[66]
15:44:22.1 (3147044)|STATEMENT_EXECUTE|[67]
15:44:22.1 (3152669)|HEAP_ALLOCATE|[67]|Bytes:1
15:44:22.1 (3159730)|HEAP_ALLOCATE|[67]|Bytes:4
15:44:22.1 (3164305)|USER_DEBUG|[67]|DEBUG|i: 6
15:44:22.1 (3169553)|HEAP_ALLOCATE|[66]|Bytes:4
