41.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: Day3ListsAndLoops.executeLoops();
Execute Anonymous: 
Execute Anonymous: 
15:45:00.1 (1226364)|USER_INFO|[EXTERNAL]|0051I000001HhoW|mark.hausknecht@atginfo.com.apexbootcamp|Pacific Standard Time|GMT-07:00
15:45:00.1 (1258842)|EXECUTION_STARTED
15:45:00.1 (1264228)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
15:45:00.1 (1479862)|HEAP_ALLOCATE|[72]|Bytes:3
15:45:00.1 (1524922)|HEAP_ALLOCATE|[77]|Bytes:152
15:45:00.1 (1547279)|HEAP_ALLOCATE|[342]|Bytes:408
15:45:00.1 (1573858)|HEAP_ALLOCATE|[355]|Bytes:408
15:45:00.1 (1600141)|HEAP_ALLOCATE|[467]|Bytes:48
15:45:00.1 (1640490)|HEAP_ALLOCATE|[139]|Bytes:6
15:45:00.1 (1667760)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:1
15:45:00.1 (1749912)|STATEMENT_EXECUTE|[1]
15:45:00.1 (1753736)|STATEMENT_EXECUTE|[1]
15:45:00.1 (1813607)|HEAP_ALLOCATE|[50]|Bytes:5
15:45:00.1 (1842210)|HEAP_ALLOCATE|[56]|Bytes:5
15:45:00.1 (1860370)|HEAP_ALLOCATE|[64]|Bytes:7
15:45:00.1 (2115825)|SYSTEM_MODE_ENTER|false
15:45:00.1 (2143316)|HEAP_ALLOCATE|[1]|Bytes:5
15:45:00.1 (10050689)|HEAP_ALLOCATE|[1]|Bytes:4
15:45:00.1 (10081083)|HEAP_ALLOCATE|[1]|Bytes:20
15:45:00.1 (10107891)|METHOD_ENTRY|[2]|01p1I000008LWEw|Day3ListsAndLoops.Day3ListsAndLoops()
15:45:00.1 (10117913)|STATEMENT_EXECUTE|[2]
15:45:00.1 (10128358)|STATEMENT_EXECUTE|[2]
15:45:00.1 (10145489)|HEAP_ALLOCATE|[1]|Bytes:5
15:45:00.1 (10161766)|METHOD_EXIT|[2]|Day3ListsAndLoops
15:45:00.1 (10202684)|METHOD_ENTRY|[1]|01p1I000008LWEw|Day3ListsAndLoops.executeLoops()
15:45:00.1 (10270034)|HEAP_ALLOCATE|[66]|Bytes:5
15:45:00.1 (10279019)|STATEMENT_EXECUTE|[58]
15:45:00.1 (10281858)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10289148)|VARIABLE_SCOPE_BEGIN|[66]|i|Integer|false|false
15:45:00.1 (10309156)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10339996)|VARIABLE_ASSIGNMENT|[66]|i|0
15:45:00.1 (10352026)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10353765)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10357182)|HEAP_ALLOCATE|[67]|Bytes:3
15:45:00.1 (10450159)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10481732)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10509140)|USER_DEBUG|[67]|DEBUG|i: 0
15:45:00.1 (10522942)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10534129)|VARIABLE_ASSIGNMENT|[66]|i|1
15:45:00.1 (10544564)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10546233)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10563080)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10580168)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10590251)|USER_DEBUG|[67]|DEBUG|i: 1
15:45:00.1 (10598896)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10607440)|VARIABLE_ASSIGNMENT|[66]|i|2
15:45:00.1 (10616036)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10617953)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10631076)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10646419)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10656287)|USER_DEBUG|[67]|DEBUG|i: 2
15:45:00.1 (10665575)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10673571)|VARIABLE_ASSIGNMENT|[66]|i|3
15:45:00.1 (10681825)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10683386)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10695796)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10710957)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10719912)|USER_DEBUG|[67]|DEBUG|i: 3
15:45:00.1 (10728740)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10736005)|VARIABLE_ASSIGNMENT|[66]|i|4
15:45:00.1 (10743865)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10745920)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10758025)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10773139)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10782383)|USER_DEBUG|[67]|DEBUG|i: 4
15:45:00.1 (10791320)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10799380)|VARIABLE_ASSIGNMENT|[66]|i|5
15:45:00.1 (10808127)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10810128)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10822526)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10836406)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10845526)|USER_DEBUG|[67]|DEBUG|i: 5
15:45:00.1 (10854700)|HEAP_ALLOCATE|[66]|Bytes:4
15:45:00.1 (10861964)|VARIABLE_ASSIGNMENT|[66]|i|6
15:45:00.1 (10869760)|STATEMENT_EXECUTE|[66]
15:45:00.1 (10871116)|STATEMENT_EXECUTE|[67]
15:45:00.1 (10883382)|HEAP_ALLOCATE|[67]|Bytes:1
15:45:00.1 (10898073)|HEAP_ALLOCATE|[67]|Bytes:4
15:45:00.1 (10907303)|USER_DEBUG|[67]|DEBUG|i: 6
15:45:00.1 (10916605)|HEAP_ALLOCATE|[66]|Bytes:4
